index,yearly_ind_benefi_per_1000,yearly_household_benefi_per_1000
2_BX 01,1468.8350437719268,801.2065969376046
2_BX 02,1260.3644298128088,700.0535926195307
2_BX 03,1600.423760688047,880.5320829467666
2_BX 04,1125.1152341215916,631.4829863221365
2_BX 05,1258.2215288611544,694.8517940717629
2_BX 06,1408.2240476533602,770.8483451025604
2_BX 07,984.901569432678,567.2285800439383
2_BX 08,502.35424796767944,301.45186816211384
2_BX 09,926.3079083912756,512.902065026872
2_BX 10,466.9164064057412,284.877732739717
2_BX 11,646.8224530168151,378.85933305072774
2_BX 12,751.9101507115475,414.745575802132
3_BK 01,892.4388877012763,362.1788390540954
3_BK 02,415.30060130299046,282.5421363823444
3_BK 03,868.3857894564827,478.58286760139885
3_BK 04,643.0385141253972,404.90438056004405
3_BK 05,1051.7452541334967,609.3736331029656
3_BK 06,309.25708391828783,204.9967051542847
3_BK 07,489.67757268478175,295.9914441891785
3_BK 08,628.1653290696346,414.68276628217245
3_BK 09,634.7011551473652,392.79074256570726
3_BK 10,419.29938710428866,250.17069507032636
3_BK 11,573.7302245838852,344.61289914881223
3_BK 12,946.6668756727383,310.7711279012655
3_BK 13,907.6602926791845,608.6902318801665
3_BK 14,564.3018971269232,338.7193148433999
3_BK 15,516.9182586908863,325.04227998747257
3_BK 16,1321.49465698293,752.6252486468983
3_BK 17,593.8280988328653,382.9258238219153
3_BK 18,455.97102452684936,276.61553246565364
1_MN 01,110.81045623011578,88.5729279412247
1_MN 02,94.80536793458941,77.16405972271596
1_MN 03,672.4217127948211,462.34313467297903
1_MN 04,358.2546370284275,268.9524916460845
1_MN 05,346.7187893096975,238.90619859501095
1_MN 06,110.49774072647028,95.02959823461417
1_MN 07,237.5361098888485,176.49365805130952
1_MN 08,77.23263004728992,60.74481629683522
1_MN 09,599.3847159075441,395.2701169765774
1_MN 10,801.4655686423615,519.1189305496746
1_MN 11,1044.502161628399,657.5914231895842
1_MN 12,706.4256394063783,487.6960319966319
4_QN 01,362.93660553099085,219.57562596478374
4_QN 02,287.19081272084804,181.29858657243815
4_QN 03,412.1264046253555,238.26176155173218
4_QN 04,436.3492045099016,254.7596148275183
4_QN 05,329.1151959335658,193.82351202789764
4_QN 06,268.9899962033252,187.94423302753913
4_QN 07,325.303007026367,214.08588500691317
4_QN 08,355.6287928421582,214.9205529856327
4_QN 09,457.2311728545811,265.8233147498203
4_QN 10,399.26958397333243,240.71048073466451
4_QN 11,184.0489216789343,122.92258934476213
4_QN 12,591.1277935897378,358.73476777074967
4_QN 13,322.8062547390412,206.72029184540253
4_QN 14,765.8421611090818,417.83645566978026
5_SI 01,637.7022690548259,339.1975238398689
5_SI 02,340.0831799277289,199.48031484132935
5_SI 03,199.0836969208971,125.29258655880757
