,communitydistrict_index,2010 Population,PAPERTONSCOLLECTED_PERCAPITA,MGPTONSCOLLECTED_PERCAPITA,REFUSETONSCOLLECTED_PERCAPITA
0,1__01,60978,0.044601331627800195,0.03299058676899865,0.16237331496605334
1,1__10,115723,0.020507591403610345,0.02095175548508075,0.1959705503659601
2,1__11,120511,0.015450871704657669,0.014606135539494318,0.1544058218751815
3,1__12,190020,0.021854015366803495,0.02491842963898537,0.21843332280812544
4,1__02,90016,0.03488935300391042,0.028364957340917173,0.1568921080696765
5,1__03,163277,0.01704526663277743,0.017347207506262365,0.1428847908768534
6,1__04,103245,0.03652089689573345,0.03309022228679355,0.18110804397307376
7,1__05,51673,0.03956611770170108,0.028707448764345014,0.18648230216941147
8,1__06,142745,0.02858664051280255,0.0245493712564363,0.15002627062243862
9,1__07,209084,0.0374060186336592,0.030094603126016337,0.1674618813491228
10,1__08,219920,0.03697662786467807,0.029128774099672614,0.1647967442706439
11,1__09,110193,0.02055575218026553,0.022552249235432382,0.16895084079750983
12,2__01,91497,0.014168770560783412,0.01544531514694471,0.2029891690437938
13,2__10,120392,0.022137683567014423,0.03503305867499502,0.19820336899461757
14,2__11,113232,0.02166172106824926,0.032994206584711035,0.24742917196552205
15,2__12,152344,0.02303668014493515,0.036818647271963455,0.2369112009662343
16,2__02,52246,0.020971940435631435,0.028201202005895185,0.2647150021054243
17,2__03,79762,0.01889120132393872,0.025984804794262937,0.22731751962087207
18,2__04,146441,0.018098756495790114,0.024588059354962066,0.2456006173134573
19,2__05,128200,0.017970358814352577,0.02598439937597504,0.24292121684867396
20,2__06,83268,0.020195032905798143,0.025202959119950033,0.2458615554594802
21,2__07,139286,0.02176098100311589,0.03350731588242895,0.2338784946082162
22,2__08,101731,0.028962656417414554,0.034452625060207805,0.20256952158142547
23,2__09,172298,0.013329812301941985,0.021151725498845024,0.19682468746009815
24,3__01,173083,0.03607691107734439,0.028915606963133302,0.2653229953259419
25,3__10,124491,0.03369400197604647,0.03514229944333326,0.23854495505699205
26,3__11,181981,0.028038641396629312,0.02859749094685709,0.2411740786126024
27,3__12,191382,0.031382261654701066,0.01887063569196685,0.2730350816691225
28,3__13,104278,0.015408811062736148,0.020266019678167976,0.17595465965975565
29,3__14,160664,0.025355400089628045,0.024859333764875764,0.2573806204252353
30,3__15,159650,0.02970685875352333,0.029504541183839647,0.24776010021922956
31,3__16,86468,0.01229934773557848,0.02001434056529583,0.23100568996623028
32,3__17,155252,0.018325689846185555,0.02781284621132095,0.25677414783706487
33,3__18,193543,0.025650113928171004,0.03174023343649732,0.2597758637615413
34,3__02,99617,0.041468825602055885,0.038050734312416554,0.20938695202626056
35,3__03,152985,0.024380821649181292,0.02566199300585025,0.23973788279896718
36,3__04,112634,0.024852176074719887,0.03388852389154252,0.25690821599161884
37,3__05,182896,0.014052795031055903,0.023228501443443267,0.23673945849007083
38,3__06,104709,0.04305933587370713,0.03661194357696092,0.1745189047741837
39,3__07,126230,0.02839736988037709,0.029649845520082388,0.2274807890358869
40,3__08,96317,0.028601389162868442,0.029291817643821966,0.24205280480081398
41,3__09,98429,0.026690304686626906,0.024358674780806472,0.2596826138638003
42,4__01,191105,0.028403757096883912,0.032016954030506785,0.18714424007744432
43,4__10,122396,0.026125036765907383,0.043792280793489985,0.2938625445275989
44,4__11,116431,0.0340055483505252,0.03698671316058438,0.2384536764263813
45,4__12,225919,0.01963137230600348,0.038341618013535826,0.2798339227776327
46,4__13,188593,0.021761677262676766,0.044108211863642874,0.2718489021331651
47,4__14,114978,0.020273443615300323,0.024714293169128005,0.24967559011289117
48,4__02,113200,0.03249469964664311,0.034110424028268554,0.2378074204946996
49,4__03,171576,0.019789481046300184,0.029519280085792885,0.2598924091947592
50,4__04,172598,0.017593483122631783,0.02644990092585082,0.20683669567434151
51,4__05,169190,0.03051480583958863,0.04476919439683196,0.25963118387611567
52,4__06,113257,0.030885508180509814,0.03129519588193224,0.21808276751105893
53,4__07,247354,0.02741010858930925,0.029857612975735182,0.23887545784584036
54,4__08,151107,0.02563680041295241,0.025895557452665988,0.21957950326589767
55,4__09,143317,0.025681531151224207,0.0400078148440171,0.2553884047251896
56,5__01,175756,0.029901681877147868,0.042201688704795286,0.2829695714513302
57,5__02,132003,0.03532798497003856,0.043383104929433425,0.2978348976917191
58,5__03,160209,0.04185719903376215,0.044782752529508335,0.33930740470260723
