,communitydistrict_index,yearly_ind_benefi_per_1000,yearly_household_benefi_per_1000
0,2__01,1848.825644556652,998.5464004284294
1,2__02,1585.2888259388278,871.5308348964514
2,2__03,1993.0041874576864,1084.3258694616484
3,2__04,1447.2859376813874,803.3679092603846
4,2__05,1606.3494539781589,878.0733229329172
5,2__06,1786.3765191910456,967.0341547773454
6,2__07,1236.5707967778528,707.3359849518257
7,2__08,603.5721658098319,362.7704436209218
8,2__09,1152.0563210252005,635.4687808332076
9,2__10,563.218486278158,345.59605289388
10,2__11,796.7535678960013,466.6790306627102
11,2__12,931.9894449403979,511.46090426928527
12,3__01,1149.3214238255634,455.2786813263001
13,3__02,513.4264232008593,346.6576989871207
14,3__03,1098.388730921332,591.8292643069582
15,3__04,807.0120922634372,494.2379743239164
16,3__05,1315.157247834835,751.3450266818302
17,3__06,373.4635991175544,249.3195427327164
18,3__07,634.4212944624891,375.544640735166
19,3__08,794.0965769282682,513.0454644559113
20,3__09,790.874640603887,483.9021020227778
21,3__10,517.8928597247993,306.8976873830237
22,3__11,741.0498898236631,442.0956033871668
23,3__12,1221.7606671473807,397.11676124191416
24,3__13,1172.8168933044362,784.0771783118204
25,3__14,719.0783249514516,425.68341383259474
26,3__15,663.6266833698718,415.7720012527404
27,3__16,1644.296155803303,923.9834389600777
28,3__17,734.3866745677993,469.2628758405688
29,3__18,554.3935972884578,334.8041520488987
30,1__01,143.0187936632884,115.86145823083734
31,1__02,122.42268041237114,99.41565943832208
32,1__03,865.7312419997917,593.4883663957569
33,1__04,442.04561964259767,331.6673930940965
34,1__05,428.73454221740565,292.9963423838368
35,1__06,139.58457389050406,120.75379172650531
36,1__07,299.5972910409214,225.2683132138279
37,1__08,96.13041105856676,76.73699527100763
38,1__09,756.0462098318403,498.05341537121234
39,1__10,1056.246381445348,678.1106608020878
40,1__11,1334.6499489673142,840.0146044759401
41,1__12,906.5466792969162,622.797600252605
42,4__01,443.88686847544545,267.2352895005364
43,4__02,358.92226148409895,226.7137809187279
44,4__03,520.0785657667739,300.8754138107894
45,4__04,548.4536321394221,320.9944495301221
46,4__05,397.1747739228087,234.03865476683018
47,4__06,337.9658652445324,238.0956585464916
48,4__07,403.72906846058686,267.27685826790747
49,4__08,440.90611288689473,269.3455630778191
50,4__09,557.7914692604506,325.47429823398477
51,4__10,489.9751625870126,297.8120200006536
52,4__11,220.29356442871742,149.65945495615432
53,4__12,730.6379720165191,447.18239723086594
54,4__13,387.1458643746057,250.6879894799913
55,4__14,969.794221503244,526.013672180765
56,5__01,799.8076879309951,426.14761373722666
57,5__02,414.3617948076938,246.971659735006
58,5__03,240.42968871911063,153.88024393136462
